"LOOPID","STAMP","FLAGS","FLAG2","SPEED","LENGTH","BIN1","BIN2","BIN3","BIN4"
8791,2012/6/13 12:48:20,0,8,629.00,0.00,7,3,0,0
8791,2012/6/13 12:48:40,0,8,639.00,0.00,3,1,0,0
8791,2012/6/13 12:49:00,0,8,557.00,0.00,5,1,0,0
8791,2012/6/13 12:49:20,0,8,689.00,0.00,5,0,0,0
8791,2012/6/13 12:49:40,0,8,662.00,0.00,7,2,0,0
8791,2012/6/13 12:50:00,0,8,690.00,0.00,5,2,0,0
8791,2012/6/13 12:50:20,0,8,659.00,0.00,9,0,0,0
8791,2012/6/13 12:50:40,0,8,656.00,0.00,6,1,0,0
8791,2012/6/13 12:51:00,0,8,633.00,0.00,11,0,0,1
8791,2012/6/13 12:51:20,0,8,657.00,0.00,12,2,0,0
8791,2012/6/13 12:51:40,0,8,637.00,0.00,7,0,0,0
8791,2012/6/13 12:52:00,0,8,653.00,0.00,8,0,0,0
8791,2012/6/13 12:52:20,0,8,661.00,0.00,14,2,0,0
8791,2012/6/13 12:52:40,0,8,706.00,0.00,7,1,0,0
8791,2012/6/13 12:53:00,0,8,694.00,0.00,6,0,0,0
8791,2012/6/13 12:53:20,0,8,625.00,0.00,9,1,0,0
8791,2012/6/13 12:53:40,0,8,679.00,0.00,4,1,0,0
8791,2012/6/13 12:54:00,0,8,636.00,0.00,7,1,1,0
8791,2012/6/13 12:54:20,0,8,666.00,0.00,3,3,0,1
8791,2012/6/13 12:54:40,0,8,664.00,0.00,9,0,0,0
8791,2012/6/13 12:55:00,0,8,661.00,0.00,7,0,0,0
8791,2012/6/13 12:55:20,0,8,648.00,0.00,3,2,0,0
8791,2012/6/13 12:55:40,0,8,692.00,0.00,6,2,0,0
8791,2012/6/13 12:56:00,0,8,675.00,0.00,9,0,0,0
8791,2012/6/13 12:56:20,0,8,696.00,0.00,7,0,0,0
8791,2012/6/13 12:56:40,0,8,723.00,0.00,5,0,0,0
8791,2012/6/13 12:57:00,0,8,650.00,0.00,8,0,0,0
8791,2012/6/13 12:57:20,0,8,693.00,0.00,5,4,1,0
8791,2012/6/13 12:57:40,0,8,689.00,0.00,4,1,0,0
8791,2012/6/13 12:58:00,0,8,642.00,0.00,3,0,1,0
8791,2012/6/13 12:58:20,0,8,699.00,0.00,8,2,0,0
8791,2012/6/13 12:58:40,0,8,661.00,0.00,5,1,0,0
8791,2012/6/13 12:59:00,0,8,664.00,0.00,8,2,1,0
8791,2012/6/13 12:59:20,0,8,667.00,0.00,9,0,0,0
8791,2012/6/13 12:59:40,0,8,633.00,0.00,6,1,0,0
8791,2012/6/13 13:00:00,0,8,656.00,0.00,7,2,1,0
8791,2012/6/13 13:00:20,0,8,646.00,0.00,10,1,0,0
8791,2012/6/13 13:00:40,0,8,661.00,0.00,10,2,0,0
8791,2012/6/13 13:01:00,0,8,609.00,0.00,6,5,0,0
8791,2012/6/13 13:01:20,0,8,664.00,0.00,9,1,0,0
8791,2012/6/13 13:01:40,0,8,679.00,0.00,6,3,0,0
8791,2012/6/13 13:02:00,0,8,719.00,0.00,4,1,0,0
8791,2012/6/13 13:02:20,0,8,673.00,0.00,7,0,0,0
8791,2012/6/13 13:02:40,0,8,661.00,0.00,12,1,0,0
8791,2012/6/13 13:03:00,0,8,696.00,0.00,5,0,0,0
8791,2012/6/13 13:03:20,0,8,710.00,0.00,3,0,0,0
8791,2012/6/13 13:03:40,0,8,679.00,0.00,3,1,0,0
8791,2012/6/13 13:04:00,0,8,629.00,0.00,12,3,0,1
8791,2012/6/13 13:04:20,0,8,658.00,0.00,8,0,0,0
8791,2012/6/13 13:04:40,0,8,694.00,0.00,7,1,0,0
8791,2012/6/13 13:05:00,0,8,702.00,0.00,5,0,0,0
8791,2012/6/13 13:05:20,0,8,632.00,0.00,10,2,0,0
8791,2012/6/13 13:05:40,0,8,653.00,0.00,3,1,0,0
8791,2012/6/13 13:06:00,0,8,684.00,0.00,12,0,1,0
8791,2012/6/13 13:06:20,0,8,689.00,0.00,3,2,0,0
8791,2012/6/13 13:06:40,0,8,669.00,0.00,5,1,0,0
8791,2012/6/13 13:07:00,0,8,682.00,0.00,9,1,0,0
8791,2012/6/13 13:07:20,0,8,686.00,0.00,6,3,0,0
8791,2012/6/13 13:07:40,0,8,592.00,0.00,6,4,1,0
8791,2012/6/13 13:08:00,0,8,645.00,0.00,3,1,0,0
