WKT,ADCODE,ID,NAME,DIRDESC,FNAME,TNAME,LENGTH,ROADCLASS
"LINESTRING (116.457953 40.000792,116.460239 40.000834,116.461279 40.000883,116.462792 40.00092,116.462937 40.000931,116.463157 40.000963,116.464139 40.001108,116.464621 40.001221,116.464874 40.00128,116.465126 40.001328,116.467561 40.001596)",110000,1632,湖光北街,由西向东,望京西路,宏泰西街西口,813,44000
"LINESTRING (116.46755 40.001682,116.466354 40.001505,116.465104 40.001376,116.464595 40.00128,116.464305 40.001221,116.464123 40.001183,116.462942 40.001033,116.462798 40.001017,116.461569 40.000969,116.46099 40.000947,116.460866 40.000942,116.460239 40.000915,116.457959 40.000872)",110000,1001632,湖光北街,由东向西,宏泰西街西口,望京西路,808,44000
"MULTILINESTRING ((116.445744 39.99561,116.446109 39.995685,116.446694 39.995787,116.449472 39.996269,116.450116 39.996382,116.452219 39.996752,116.452643 39.996822,116.453292 39.996908,116.453941 39.99694,116.454434 39.996945,116.455078 39.996951,116.455352 39.996961,116.457481 39.996994,116.457637 39.996994,116.457803 39.996999,116.458651 39.997015,116.458822 39.997015),(116.458822 39.997015,116.459348 39.997026,116.460464 39.997053,116.461279 39.997058,116.462674 39.997085,116.462798 39.997085,116.464241 39.997122,116.464369 39.997128,116.464455 39.997128,116.464986 39.997144,116.465362 39.997149,116.465984 39.99716,116.467786 39.997197))",110000,1634,湖光中街,由西向东,湖光桥,湖光中街东口,1865,45000
"MULTILINESTRING ((116.467776 39.997267,116.466998 39.997262,116.465973 39.997235,116.465362 39.997224,116.464981 39.997213,116.464241 39.997208,116.462792 39.997187,116.462674 39.997181,116.461285 39.997165,116.460464 39.99716,116.459348 39.997133),(116.459348 39.997133,116.459278 39.997133,116.457637 39.997106,116.457476 39.997106,116.457304 39.997101,116.455346 39.997047,116.455078 39.997047,116.453925 39.997036,116.453243 39.997026,116.453061 39.99701,116.452707 39.996961,116.452106 39.996859,116.449987 39.996479,116.449445 39.996382,116.446731 39.995899,116.446114 39.995787))",110000,1001634,湖光中街,由东向西,湖光中街东口,,1834,45000
"MULTILINESTRING ((116.465694 39.98826,116.466182 39.987944,116.46666 39.987633,116.466944 39.987456,116.467862 39.986844,116.468897 39.986163,116.469938 39.985482,116.470436 39.985154,116.471096 39.984714,116.471547 39.984414,116.472325 39.983915),(116.472334 39.983909,116.476654 39.981099,116.476863 39.980965,116.476976 39.98089,116.477051 39.980841,116.478022 39.980203))",110000,1654,花家地街,由西向东,阜通西大街,京密路口,948,44000
"LINESTRING (116.478091 39.980267,116.477239 39.980831,116.477051 39.980959,116.476922 39.98105,116.476724 39.981179,116.476209 39.981523,116.475425 39.982032,116.474535 39.982617,116.47373 39.983137,116.473446 39.983325,116.472657 39.983835,116.472411 39.98399,116.471719 39.984441,116.47012 39.985492,116.46975 39.985728,116.468977 39.986238,116.467341 39.987321,116.467019 39.987525,116.466537 39.987842,116.465786 39.988341)",110000,1001654,花家地街,由东向西,京密路,花家地街口,1347,44000
"LINESTRING (116.473301 40.005335,116.473269 40.006349,116.473215 40.007406,116.47321 40.007674,116.473156 40.008624,116.473145 40.00872,116.473097 40.009616,116.473054 40.010667,116.473017 40.011397,116.472985 40.011681,116.472958 40.012137,116.472952 40.012207,116.472926 40.012599,116.472909 40.013076,116.472888 40.013473,116.472856 40.014235)",110000,2130,利泽中二路,由南向北,河荫中路,屏翠西路,940,44000
"LINESTRING (116.472856 40.014235,116.472888 40.013473,116.472909 40.013076,116.472926 40.012599,116.472952 40.012207,116.472958 40.012137,116.472985 40.011681,116.472963 40.011397,116.47299 40.010667,116.473038 40.009621,116.473076 40.00872,116.473081 40.008624,116.473129 40.007669,116.473183 40.006344,116.473231 40.00533)",110000,1002130,利泽中二路,由北向南,屏翠西路,河荫中路,941,44000
"MULTILINESTRING ((116.455062 40.008173,116.455078 40.008157,116.455153 40.008082,116.455191 40.008023,116.455196 40.007985,116.455185 40.007948,116.455169 40.007932,116.455137 40.007899,116.455373 40.007937,116.455733 40.008001,116.4565 40.008211,116.456907 40.008221,116.457868 40.008232,116.458291 40.008232,116.458431 40.008232,116.459193 40.008264,116.459547 40.008286),(116.459547 40.008286,116.459976 40.008302,116.460373 40.008318,116.460518 40.008323,116.461505 40.008366,116.46283 40.008414,116.462878 40.008414,116.464047 40.008463,116.465265 40.008511,116.465437 40.008516,116.46637 40.008554,116.467239 40.008581))",110000,2134,利泽西街,由西向东,辛店路,利泽中街西口,1025,44000
"LINESTRING (116.46776 40.008591,116.468259 40.008597,116.468714 40.008613,116.470318 40.008624,116.470672 40.008624,116.470962 40.008618,116.473081 40.008624,116.473156 40.008624,116.473725 40.008629,116.475136 40.00865,116.475731 40.008645,116.476026 40.00864,116.477051 40.00864,116.478161 40.008634)",110000,2136,利泽中街,由西向东,广顺北大街,广泽路,877,44000
